F090W_vega,F150W_vega
27.517,26.265
27.659,26.292
27.901,26.287
27.923,26.309
27.839,26.291
27.897,26.313
27.845,26.289
28.045,26.284
27.8,26.233
27.687,26.296
28.105,26.289
27.638,26.237
27.745,26.28
27.726,26.252
27.822,26.288
27.583,26.241
27.788,26.272
27.692,26.286
27.917,26.232
27.766,26.296
27.744,26.285
27.814,26.274
27.671,26.293
27.631,26.267
27.707,26.292
27.87,26.301
27.644,26.302
27.891,26.296
27.738,26.254
27.92,26.321
27.862,26.293
27.465,26.26
27.672,26.307
27.702,26.296
27.65,27.339
27.793,26.283
27.952,26.284
27.663,27.813
28.041,26.311
27.972,26.307
27.718,26.307
27.767,26.27
27.683,26.25
27.735,26.292
27.633,26.232
28.049,26.373
27.827,26.303
27.974,26.343
27.681,26.294
28.201,27.249
27.642,26.296
27.632,26.264
27.686,26.304
27.693,26.304
27.902,26.336
28.364,26.335
27.821,26.313
27.573,26.326
27.776,26.303
27.949,26.308
27.79,26.309
27.727,26.281
27.654,26.299
27.854,26.253
27.657,26.304
27.788,26.252
27.747,26.295
27.579,26.318
27.667,26.317
27.96,26.323
27.766,26.32
27.692,26.288
27.837,26.327
27.744,26.266
27.902,26.327
27.813,26.308
27.779,26.318
27.758,26.319
27.741,26.252
27.67,26.33
28.043,26.333
27.922,26.313
27.724,26.306
27.958,26.318
27.673,26.311
27.861,26.347
27.827,26.319
27.624,26.34
27.546,26.315
27.916,26.318
27.688,26.306
27.738,26.299
27.795,26.331
27.857,26.357
27.758,26.323
27.807,26.233
27.557,26.345
27.903,26.25
28.517,26.377
27.482,26.352
27.824,26.341
27.718,26.33
27.747,26.34
27.763,26.35
27.812,26.335
27.926,26.33
27.674,26.312
27.579,26.333
27.865,26.325
27.678,26.314
27.943,26.337
27.995,26.302
27.867,26.308
27.894,26.325
27.624,26.33
27.874,26.329
27.842,26.349
27.761,26.28
27.818,26.28
27.927,26.322
27.733,26.357
27.81,26.33
27.643,26.282
27.505,26.281
27.63,26.333
27.707,26.286
28.206,26.368
27.965,26.349
27.748,26.344
27.761,26.339
27.798,26.325
27.781,26.318
27.907,26.348
28.157,26.359
27.853,26.348
27.91,26.35
27.811,26.345
27.94,26.357
27.914,26.34
27.803,26.344
28.084,26.355
27.806,26.348
27.834,26.32
27.755,26.345
27.844,26.283
27.87,26.352
27.764,26.263
27.833,26.33
27.952,26.338
27.753,26.35
27.636,26.298
27.627,26.36
27.915,26.352
27.773,26.36
27.626,26.41
27.539,26.355
28.067,26.35
27.845,26.346
27.772,27.467
28.086,26.341
27.65,26.346
27.95,26.369
27.979,26.363
27.645,26.371
27.937,26.308
28.032,26.335
27.596,26.348
27.855,26.348
28.092,26.368
27.721,26.354
27.96,26.356
28.157,26.353
27.959,26.343
27.957,26.301
27.659,26.347
27.727,26.346
27.72,26.329
27.968,26.385
27.999,26.364
27.972,26.308
27.741,26.389
27.829,26.346
27.652,26.291
27.965,26.343
27.862,26.294
27.831,26.38
27.71,26.37
27.428,26.377
28.001,26.311
27.368,26.32
27.561,26.366
27.699,26.338
27.754,26.345
28.132,27.315
27.765,26.301
27.861,26.309
27.509,26.32
27.839,26.377
27.774,26.363
27.66,26.367
27.824,26.361
27.845,26.37
28.018,26.337
27.788,26.376
27.968,26.36
27.807,26.341
27.766,26.347
27.553,26.392
28.137,26.329
27.885,26.364
27.847,26.337
27.736,26.361
27.405,26.343
28.086,26.415
27.814,26.313
27.436,26.372
27.834,26.34
27.613,26.314
27.869,26.318
27.788,26.358
27.856,26.388
27.558,26.361
27.755,26.298
27.654,26.373
27.998,26.413
28.27,26.397
27.898,26.345
27.945,26.345
27.635,26.301
27.985,26.377
27.834,26.375
27.832,26.373
27.9,26.373
27.916,26.39
27.889,26.376
27.884,26.294
27.589,26.366
27.82,26.323
27.961,26.386
27.835,26.379
28.085,26.396
27.791,26.401
27.973,26.403
27.899,26.396
28.143,26.329
27.892,26.359
27.796,26.366
27.706,26.369
27.895,26.395
27.775,26.341
27.731,26.321
27.951,26.388
27.648,26.4
27.696,26.395
27.909,26.394
28.064,26.383
28.106,26.399
27.962,26.408
27.662,26.409
27.654,26.425
27.695,26.409
27.713,26.386
27.676,26.333
27.987,26.35
28.087,26.391
27.64,26.37
27.798,26.403
27.872,26.404
27.902,26.387
28.001,26.406
27.724,26.392
27.856,26.347
27.975,26.383
27.836,26.337
27.891,26.409
27.701,26.405
27.956,26.343
27.802,26.401
27.791,26.403
27.842,26.403
27.867,26.413
27.833,26.406
27.866,26.342
27.682,26.404
27.686,26.395
27.916,26.411
27.83,26.398
28.179,26.424
27.851,26.368
27.899,26.395
27.982,26.441
27.786,26.393
27.946,26.393
27.884,26.37
27.874,26.404
27.665,26.42
27.831,26.396
27.897,26.399
27.705,26.407
27.773,27.243
27.77,26.356
27.945,26.411
27.846,26.431
27.783,26.414
27.938,26.423
27.765,26.392
27.705,26.345
27.738,26.408
27.831,26.409
27.955,26.431
