F090W_vega,F150W_vega
27.838,26.435
27.623,26.444
28.137,26.442
27.709,26.414
27.82,26.417
27.541,26.363
27.729,26.438
27.782,26.362
27.956,26.459
27.848,26.41
27.409,26.38
27.852,26.378
27.943,26.455
28.241,26.434
27.623,26.37
27.574,26.436
27.995,26.373
27.809,26.424
28.211,26.429
27.777,26.391
27.975,26.413
27.758,26.428
27.867,26.449
28.027,26.384
27.682,26.439
28.131,26.44
27.747,26.35
27.808,26.424
27.792,26.422
27.574,26.442
27.834,26.428
27.624,26.352
27.835,26.404
27.833,26.392
27.99,26.417
27.944,26.43
27.813,26.452
27.673,26.399
28.285,26.464
27.791,26.365
27.618,26.435
27.828,26.439
27.771,26.406
27.769,26.449
27.909,26.396
28.053,26.407
27.681,26.379
27.613,26.423
27.796,26.469
27.936,26.45
27.9,26.48
27.554,26.46
27.568,26.383
27.764,26.371
27.637,26.412
27.777,26.412
28.033,26.487
27.934,26.434
27.629,26.453
27.752,26.368
27.943,26.388
27.912,26.47
27.791,26.37
27.829,26.455
27.698,26.451
27.621,26.39
28.055,26.447
27.615,26.419
28.069,26.392
27.628,26.394
27.827,26.459
27.726,26.406
27.923,26.498
27.694,26.47
27.635,26.418
28.042,26.455
27.909,26.463
27.846,26.365
27.696,26.437
27.726,26.471
27.868,26.476
27.702,26.401
27.731,26.459
27.687,26.465
27.567,26.433
28.142,26.463
27.884,26.424
27.601,26.407
27.764,26.413
27.739,26.468
27.779,26.462
