F090W_vega,F150W_vega
26.389,25.172
26.242,25.2
26.55,25.179
26.347,25.186
26.61,25.186
26.485,25.197
26.635,25.188
26.448,25.191
26.233,25.211
26.386,25.185
26.694,25.18
26.604,25.182
26.474,25.181
26.358,25.189
26.708,25.22
26.899,25.261
26.423,25.221
26.599,25.215
26.446,25.203
25.552,25.558
26.456,25.192
26.436,25.193
26.567,25.207
26.504,25.206
25.51,25.634
26.796,25.214
25.425,25.851
26.71,25.201
26.559,25.21
26.527,25.213
25.764,25.373
26.61,25.209
26.581,25.221
26.56,25.23
26.346,25.225
26.586,25.212
26.549,25.227
26.522,25.222
26.608,25.223
26.524,25.233
26.575,25.226
26.539,25.218
26.628,25.246
25.646,25.514
26.46,25.225
26.683,25.248
26.524,25.274
26.507,25.249
26.391,25.257
26.759,25.231
26.517,25.25
26.621,25.239
26.697,25.245
26.627,25.25
26.388,25.265
26.569,25.236
26.549,25.251
26.564,25.251
25.592,25.61
26.554,25.248
26.502,25.239
26.722,25.266
26.497,25.247
26.576,25.258
26.518,25.264
26.741,25.247
26.355,25.276
26.611,25.261
27.217,25.301
26.503,25.272
26.753,25.265
26.724,25.256
26.609,25.272
26.439,25.28
26.725,25.274
26.384,25.287
26.608,25.272
26.649,25.277
26.329,25.274
26.664,25.282
25.694,25.53
26.635,25.279
26.62,25.288
26.287,25.297
26.527,25.304
26.778,25.28
26.577,25.292
26.507,25.282
26.481,25.287
26.737,25.296
26.333,25.297
26.437,25.294
26.393,25.3
26.509,25.305
26.684,25.284
26.666,25.309
26.599,25.313
26.644,25.306
26.659,25.309
26.61,25.309
26.779,25.309
26.385,25.301
26.515,25.315
26.625,25.298
26.377,25.318
26.506,25.312
25.805,25.502
26.664,25.295
26.737,25.323
26.626,25.327
26.418,25.341
26.624,25.301
26.652,25.305
26.675,25.32
26.809,25.327
26.705,25.317
26.603,25.313
26.338,25.331
26.472,25.33
26.723,25.336
26.766,25.31
26.812,25.324
26.788,25.328
26.693,25.33
26.456,25.353
26.63,25.338
26.211,25.376
26.305,25.36
26.535,25.331
26.645,25.326
26.627,25.344
26.719,25.333
26.468,25.343
26.792,25.349
26.91,25.359
26.692,25.338
26.612,25.327
26.368,25.363
26.679,25.333
26.737,25.345
26.477,25.357
26.942,25.343
26.744,25.337
26.551,25.354
26.681,25.353
26.698,25.348
26.784,25.373
26.591,25.364
26.479,25.347
26.705,25.34
26.622,25.359
26.761,25.371
26.503,25.356
26.556,25.36
26.676,25.353
26.694,25.362
26.914,25.368
26.67,25.357
26.425,25.365
26.452,25.381
26.672,25.352
26.566,25.368
26.679,25.371
26.788,25.363
26.535,25.37
26.882,25.398
26.483,25.361
26.509,25.37
26.923,25.376
26.615,25.391
26.752,25.368
26.584,25.393
25.629,25.944
26.426,25.379
26.585,25.373
26.065,25.48
26.419,25.421
26.573,25.39
27.025,25.385
26.423,25.402
26.826,25.371
26.679,25.373
26.704,25.391
26.615,25.393
26.514,25.403
26.836,25.378
26.829,25.385
26.742,25.393
26.629,25.403
26.495,25.398
26.67,25.403
26.451,25.408
26.745,25.402
26.453,25.416
26.424,25.405
26.706,25.401
26.514,25.417
26.763,25.409
26.827,25.394
26.743,25.411
26.824,25.392
26.642,25.411
26.831,25.403
26.64,25.397
26.689,25.408
26.941,25.414
26.758,25.414
26.678,25.446
26.865,25.401
26.536,25.43
26.552,25.438
26.701,25.416
26.696,25.413
27.099,25.421
26.972,25.42
26.907,25.465
26.661,25.427
26.865,25.425
26.844,25.41
26.97,25.411
26.855,25.44
26.565,25.446
26.874,25.423
26.414,25.44
26.642,25.433
26.612,25.419
26.943,25.433
26.8,25.442
26.909,25.444
26.799,25.437
26.732,25.421
26.799,25.418
26.744,25.433
26.699,25.441
25.711,25.928
26.806,25.453
26.744,25.424
26.745,25.436
26.565,25.448
26.66,25.447
26.856,25.439
26.905,25.456
26.595,25.459
26.526,25.455
26.868,25.455
26.825,25.454
26.666,25.437
26.603,25.443
26.627,25.442
26.817,25.469
26.846,25.452
26.805,25.452
26.716,25.444
26.774,25.454
26.79,25.464
26.782,25.466
26.612,25.468
25.908,25.659
27.037,25.48
26.888,25.507
26.722,25.458
26.736,25.478
26.791,25.454
26.83,25.465
26.775,25.447
26.773,25.457
26.82,25.466
26.815,25.458
26.958,25.466
26.799,25.484
27.095,25.476
26.567,25.46
26.755,25.471
26.353,25.503
26.821,25.466
26.698,25.464
26.832,25.476
26.597,25.488
27.051,25.475
26.667,25.487
26.775,25.483
26.802,25.472
26.91,25.478
27.031,25.506
26.662,25.476
26.927,25.491
26.721,25.478
26.843,25.488
26.809,25.498
26.591,25.501
26.492,25.494
26.957,25.495
26.777,25.533
26.659,25.494
26.731,25.483
27.14,25.51
26.997,25.503
26.66,25.515
26.642,25.492
26.727,25.496
26.883,25.502
25.917,25.77
27.148,25.516
26.649,25.505
26.472,25.524
26.727,25.503
26.735,25.512
26.756,25.528
26.786,25.499
26.774,25.503
27.008,25.517
26.785,25.521
26.956,25.537
26.767,25.52
26.791,25.512
26.795,25.524
26.618,25.527
26.886,25.512
26.828,25.528
26.776,25.51
26.708,25.524
26.84,25.529
26.84,25.514
26.713,25.517
26.884,25.549
26.771,25.545
26.891,25.517
26.702,25.526
26.751,25.546
26.664,25.535
26.862,25.516
26.878,25.547
26.829,25.552
26.732,25.538
26.734,25.529
26.614,25.531
26.967,25.551
26.378,25.574
26.768,25.524
26.636,25.528
26.752,25.552
26.821,25.532
26.8,25.525
26.526,25.57
26.592,25.545
26.488,25.568
27.037,25.548
26.818,25.555
25.853,25.94
26.818,25.547
26.884,25.555
27.336,25.556
26.847,25.532
26.781,25.559
27.04,25.56
27.103,25.557
26.584,25.59
27.204,25.573
26.596,25.562
26.719,25.571
27.036,25.567
26.752,25.552
26.885,25.556
27.039,25.552
